127.0.0.1 - - [14/Jul/2023:14:30:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:26 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:39:03 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:38 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:43:50 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:49:40 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:06:55 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:06:55 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:06:55 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:06:56 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:07:14 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:07:44 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:08:03 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:15:57 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 500 3202
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:16:05 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 500 3202
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:27:05 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:29:46 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 200 478
